roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,8.9012,0.3333,12.5094,2.6901,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,23,5.7500,0.0775,4,branching,medium,single,4,3,dispersed,medium,3,high,429436379,ff1bb715-41ad-4a24-a31e-499bba5e889a,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.8604,0.8333,6.6379,2.5116,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,20,5.0000,0.0626,4,branching,medium,single,4,3,dispersed,medium,3,high,1897108508,9fd672d7-152c-423e-af51-4b14f62db78f,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.9783,0.8333,7.8284,2.0606,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,25,6.2500,0.1008,4,branching,medium,single,4,3,dispersed,medium,3,high,1346154291,0c07cbfe-8089-4618-8ea2-9d49c5c7676f,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.8103,0.3333,12.1363,2.6422,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,20,5.0000,0.0579,4,branching,medium,single,4,3,dispersed,medium,3,high,189053950,2db915b4-b287-4d07-8d78-0d79e2b715e6,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,13.0639,0.5000,12.1576,3.0286,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,18,4.5000,0.0483,4,branching,medium,single,4,3,dispersed,medium,3,high,1669249759,1041fa72-e598-4a46-9d90-bbdb1a8c8cfa,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.6121,0.8333,8.4313,3.3347,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,27,6.7500,0.0877,4,branching,medium,single,4,3,dispersed,medium,3,high,2022496370,e2678857-49ff-42d1-9649-47b147a8ed3e,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.9993,1.0000,6.1432,1.9766,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,23,5.7500,0.0749,4,branching,medium,single,4,3,dispersed,medium,3,high,1184693925,0b2085d3-0fbc-4351-845e-5d9bccda34e5,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.6174,0.5000,9.9399,2.1690,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,23,5.7500,0.0860,4,branching,medium,single,4,3,dispersed,medium,3,high,280706122,0abcffc0-2fc7-4385-a82f-bbe80bfd51ae,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.0249,0.3333,11.6449,2.2574,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,20,5.0000,0.0585,4,branching,medium,single,4,3,dispersed,medium,3,high,768382011,d54c73cc-cc77-415e-aeff-dd22604f13cf,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.4417,0.6667,9.0818,2.0940,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,26,6.5000,0.0961,4,branching,medium,single,4,3,dispersed,medium,3,high,20486418,09bf266d-b272-4968-9251-ab34779e8344,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,8.8817,1.0000,5.8392,1.9445,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,23,5.7500,0.0892,4,branching,medium,single,4,3,dispersed,medium,3,high,156146207,b336cd79-f2f6-4913-b922-d1061f5fb2e1,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.8486,0.8333,6.9405,2.6312,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,23,5.7500,0.0858,4,branching,medium,single,4,3,dispersed,medium,3,high,138859419,c6e27378-0b9e-4d40-9dbf-057217176282,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,8.8161,1.0000,5.8744,2.6014,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,21,5.2500,0.0730,4,branching,medium,single,4,3,dispersed,medium,3,high,430461938,d9267fd4-495d-4d11-843c-cedddfeddabf,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.6938,0.5000,15.4527,11.1154,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,28,7.0000,0.0893,4,branching,medium,single,4,3,dispersed,medium,3,high,1504071390,8dfa57b2-e8b0-4a9a-b5b6-86dc84f15e30,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.2117,1.0000,6.1757,2.3491,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,23,5.7500,0.0722,4,branching,medium,single,4,3,dispersed,medium,3,high,948329852,d9fa51da-ab2b-411c-a41b-ce2b5c23473b,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.3191,0.6667,9.1783,2.4836,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,23,5.7500,0.0781,4,branching,medium,single,4,3,dispersed,medium,3,high,1546229759,4895c953-8e9a-4e62-b308-61d0f4106e69,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.8326,0.3333,10.9152,2.0509,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,25,6.2500,0.0856,4,branching,medium,single,4,3,dispersed,medium,3,high,619969181,c95936f5-0096-4c43-a2a2-4cc7a9b26504,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.4220,1.0000,5.6756,2.2942,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,20,5.0000,0.0762,4,branching,medium,single,4,3,dispersed,medium,3,high,1911733887,535f130b-68ff-4463-83b0-d04785999fbb,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.3268,1.0000,6.4041,1.7846,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,23,5.7500,0.0815,4,branching,medium,single,4,3,dispersed,medium,3,high,1798467322,5c952de4-19c5-4324-b3f4-48b0c2169833,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.5693,1.0000,6.5845,2.5359,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,26,6.5000,0.1118,4,branching,medium,single,4,3,dispersed,medium,3,high,134931003,ced92f16-312a-4b19-addf-523cfefee6c7,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.5205,0.6667,9.4545,2.3367,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,20,5.0000,0.0683,4,branching,medium,single,4,3,dispersed,medium,3,high,829455790,a11c3bca-9343-4869-8c77-38e616536f5e,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.5268,0.6667,10.0204,2.0445,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,27,6.7500,0.0913,4,branching,medium,single,4,3,dispersed,medium,3,high,1036188826,110b5c81-0d3f-40bb-bc0d-cd4c327ce925,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.9311,1.0000,7.8997,2.2680,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,27,6.7500,0.1074,4,branching,medium,single,4,3,dispersed,medium,3,high,738650662,80481175-af46-455a-8bef-0c682e4c0cb6,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.9165,0.5000,14.0092,11.1290,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,25,6.2500,0.0914,4,branching,medium,single,4,3,dispersed,medium,3,high,1549922404,422a1c98-ae36-47b0-8890-a8295b6cd85c,true,,
