scenarioId_A,scenarioId_B,graphEditDistance,entityPositionDistance,jaccardRoomConnectivity,roleDistributionDistance,depthProfileDistance,doorStateDistance,furnitureCountDistance
0225230d-0887-4698-8bca-5fb37c36f3b0,2c14a5a0-7973-4c51-b110-aaa1eadda233,2.0000,10.4451,0.5000,2.0000,2.0000,0.0000,0.2308
0225230d-0887-4698-8bca-5fb37c36f3b0,0b51b4e0-6599-4643-b66b-4734c4da0139,0.0000,8.5884,1.0000,0.0000,0.0000,0.6667,0.0370
0225230d-0887-4698-8bca-5fb37c36f3b0,a41afa50-af78-4d35-b287-1472bceecd7a,0.0000,5.0535,1.0000,0.0000,0.0000,0.0000,0.0370
0225230d-0887-4698-8bca-5fb37c36f3b0,33cc7af9-4489-4b3a-98f3-22346fc63f32,0.0000,7.6499,1.0000,0.0000,0.0000,0.6667,0.0385
0225230d-0887-4698-8bca-5fb37c36f3b0,b48e2188-35a7-40d0-8629-ec5284eeec70,0.0000,8.1563,1.0000,0.0000,0.0000,0.0000,0.0370
0225230d-0887-4698-8bca-5fb37c36f3b0,49adf182-8855-47e4-8866-f673f2b8d0bc,2.0000,9.1265,0.5000,2.0000,2.0000,0.6667,0.1538
0225230d-0887-4698-8bca-5fb37c36f3b0,df100231-12ea-4b24-8abf-9148301cd4ca,0.0000,6.9275,1.0000,0.0000,0.0000,0.6667,0.1875
0225230d-0887-4698-8bca-5fb37c36f3b0,837f55da-771b-4dfc-a7c5-28d37262b270,2.0000,10.0492,0.5000,2.0000,2.0000,0.6667,0.1538
0225230d-0887-4698-8bca-5fb37c36f3b0,d5f5e020-0d59-4925-943b-8986d357d49a,2.0000,10.7467,0.5000,2.0000,2.0000,0.6667,0.1923
0225230d-0887-4698-8bca-5fb37c36f3b0,d3690318-06d1-40f7-9ea0-017bcc5ca9ad,0.0000,8.5254,1.0000,0.0000,0.0000,0.6667,0.1333
0225230d-0887-4698-8bca-5fb37c36f3b0,403d27c7-e95f-435a-88c5-454e9ee5d314,0.0000,8.0070,1.0000,0.0000,0.0000,0.0000,0.0714
0225230d-0887-4698-8bca-5fb37c36f3b0,812fb4d8-badd-4b29-b584-880140769ba4,2.0000,8.4687,0.5000,2.0000,2.0000,0.0000,0.2308
0225230d-0887-4698-8bca-5fb37c36f3b0,689a771f-e45b-4078-8de9-13c652479c46,2.0000,6.9216,0.5000,2.0000,2.0000,0.0000,0.0714
0225230d-0887-4698-8bca-5fb37c36f3b0,96640a3c-e654-4d64-984b-efdd3792483d,2.0000,13.5758,0.5000,2.0000,2.0000,0.6667,0.1538
0225230d-0887-4698-8bca-5fb37c36f3b0,a7b55851-ac3a-4058-9047-e43c1967d6d5,2.0000,9.9338,0.5000,2.0000,2.0000,0.6667,0.1538
0225230d-0887-4698-8bca-5fb37c36f3b0,be6aee86-a40e-4744-9c2e-b047d427d0e8,0.0000,7.3573,1.0000,0.0000,0.0000,0.0000,0.1034
0225230d-0887-4698-8bca-5fb37c36f3b0,950976c7-b655-400e-ae94-6f403ff32032,0.0000,10.8585,1.0000,0.0000,0.0000,0.6667,0.0714
0225230d-0887-4698-8bca-5fb37c36f3b0,765b5af7-f1cc-4286-9d11-ca2c397d91d1,2.0000,10.5371,0.5000,2.0000,2.0000,0.6667,0.3462
0225230d-0887-4698-8bca-5fb37c36f3b0,9867a394-960f-48d6-b747-92a520c34b14,0.0000,10.1596,1.0000,0.0000,0.0000,0.6667,0.0370
0225230d-0887-4698-8bca-5fb37c36f3b0,75b287c3-cab8-4fe3-8a13-09790f60718c,2.0000,9.4653,0.5000,2.0000,2.0000,0.6667,0.1923
0225230d-0887-4698-8bca-5fb37c36f3b0,de471e97-0a66-4c7e-a8fc-2624492d1386,2.0000,11.7269,0.5000,2.0000,2.0000,0.6667,0.2692
