difficultyBatch,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
3,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.4632,0.6667,8.3230,3.1212,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,21,5.2500,0.0612,4,branching,medium,single,4,3,dispersed,medium,3,medium,1774318260,becc3937-5755-43e0-a074-42f045482e01,true,,
3,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.3091,1.0000,6.4930,2.6870,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,15,3.7500,0.0388,4,branching,medium,single,4,3,dispersed,medium,3,medium,618711331,415e318f-bf45-4b81-af4a-294989437582,true,,
3,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.4135,0.5000,11.7267,10.7793,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,21,5.2500,0.0930,4,branching,medium,single,4,3,dispersed,medium,3,medium,2097177310,1f70c22a-115b-4fdd-9a68-011a7df09c81,true,,
3,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.1303,1.0000,6.3723,2.5964,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,19,4.7500,0.0784,4,branching,medium,single,4,3,dispersed,medium,3,medium,371756269,dd32227a-51cd-4c47-a4fa-b97f970914e2,true,,
3,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.1304,1.0000,6.0501,3.1043,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,26,6.5000,0.1011,4,branching,medium,single,4,3,dispersed,medium,3,medium,1810655068,46639eff-648f-4322-8a61-5c7c81996ea7,true,,
3,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.7369,0.3333,13.2813,2.1220,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,18,4.5000,0.0514,4,branching,medium,single,4,3,dispersed,medium,3,medium,1473074895,4f06dcbd-c342-4c37-9840-4a28a111f690,true,,
3,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.2158,0.5000,9.1975,2.3007,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,17,4.2500,0.0541,4,branching,medium,single,4,3,dispersed,medium,3,medium,59662621,3c25c33e-ac1d-45b4-a4af-a16ba09e28e1,true,,
3,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.0112,1.0000,5.6691,2.4636,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,18,4.5000,0.0941,4,branching,medium,single,4,3,dispersed,medium,3,medium,136110786,be03f33b-4f58-43b3-b4de-b661e0009b92,true,,
3,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.4921,0.6667,9.3562,2.8303,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,15,3.7500,0.0513,4,branching,medium,single,4,3,dispersed,medium,3,medium,1332343045,39f0c96b-fde5-4e0e-bac8-b8e7d02c15bc,true,,
3,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.0671,0.3333,12.9487,2.4646,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,16,4.0000,0.0615,4,branching,medium,single,4,3,dispersed,medium,3,medium,1795638329,3303e2cd-2c1d-43fb-b9ea-eac5d309f504,true,,
3,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.7100,0.5000,9.9600,2.0049,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,18,4.5000,0.0567,4,branching,medium,single,4,3,dispersed,medium,3,medium,920716017,2e90a68f-3d79-4868-9a5d-a83f5dbc7efe,true,,
