withinFormRange,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage,failureCategory,seedRetries
false,12,12,2.0000,6,6,0.0833,1,0,12,0,0.0000,41.5441,0.6190,9.2763,1.5426,0.2449,5.4286,4.0000,1,2,2,1,0.3333,2.6667,17,1.4167,0.0167,12,loop,medium,single,12,6,clustered,medium,1,low,841800154,c0b20f09-631f-40db-b7a3-50d36640c402,true,,,none,0
false,15,15,2.0000,7,7,0.0667,1,2,13,0,0.0000,37.7151,0.5000,21.0985,2.8365,0.1875,6.7500,4.0000,3,1,2,1,0.2000,1.7143,35,2.3333,0.0302,15,loop,medium,single,15,7,clustered,high,4,medium,116674454,41935e09-1ab7-4f9c-a313-a18ecda1c286,false,"EntityBounds: entity terrorist_01 at (-2.20, -42.20) exceeds room room_09 interior bounds (centre=(0.00, -40.00), half-extents=(2.20, 2.20))",,EntityBounds,3
false,9,9,2.0000,4,4,0.1111,1,3,6,0,0.0000,12.2653,0.8000,8.0418,3.1241,0.2222,1.6667,3.0000,2,1,1,1,0.2222,1.2000,28,3.1111,0.0368,9,loop,medium,single,9,5,front_loaded,medium,5,high,1976073269,9b7aa5a5-04fe-41af-aafd-9b3f34cf38ec,true,,,none,2
false,13,12,1.8462,2,1,0.0000,3,0,11,1,0.0833,7.5545,0.6667,11.3037,3.3898,0.0000,1.0000,2.0000,0,2,2,1,0.1538,1.6000,62,4.7692,0.0682,13,hub_and_spoke,medium,multiple,13,5,dispersed,medium,2,low,688714217,0e9cdc98-e89d-4d66-b185-5a4aa97be162,true,,,none,0
false,15,14,1.8667,14,14,0.0000,1,4,9,1,0.0714,12.4363,0.3056,15.0915,6.7187,13.5803,5.5556,3.0000,3,1,3,1,0.1333,1.8750,15,1.0000,0.0207,15,linear,small,single,15,8,dispersed,medium,5,medium,1505085600,60b9dae6-e1aa-4866-a13d-9d26ed8e6980,false,"EntityBounds: entity terrorist_08 at (-19.20, 7.20) exceeds room room_09 interior bounds (centre=(-18.00, 6.00), half-extents=(1.20, 1.20))",,EntityBounds,3
false,8,7,1.7500,7,7,0.0000,1,0,6,1,0.1429,65.3321,1.0000,6.1264,1.8317,0.2469,6.5556,3.0000,2,3,2,1,0.2500,2.1250,26,3.2500,0.0351,8,linear,large,single,8,8,clustered,high,1,low,1356339134,8e8c01b0-a1da-4514-9796-729d971beb4b,true,,,none,0
false,15,14,1.8667,2,1,0.0000,3,0,13,1,0.0714,6.1949,0.3333,8.8514,8.7978,0.0000,1.0000,0.0000,0,0,1,1,0.0000,1.0000,44,2.9333,0.0685,15,hub_and_spoke,small,multiple,15,2,dispersed,low,4,medium,1390323682,7b4e2922-7e79-4490-a8f9-5028f85a1ac7,true,,,none,0
false,8,9,2.2500,4,2,0.2222,1,2,7,0,0.0000,9.0207,0.2000,12.1211,3.1152,0.0000,1.0000,3.0000,1,1,1,1,0.2500,1.5000,28,3.5000,0.0475,8,loop,medium,single,8,4,front_loaded,high,5,high,939029645,602e95bc-766e-4baa-b221-8b0407218ecf,true,,,none,0
false,6,5,1.6667,2,1,0.0000,3,0,4,1,0.2000,8.3383,1.0000,1.6360,1.6033,0.0000,1.0000,2.0000,0,1,0,1,0.1667,1.0000,44,7.3333,0.0978,6,hub_and_spoke,medium,multiple,6,2,clustered,high,1,high,1321670561,f596126f-603b-4703-8596-422ec9f04261,true,,,none,1
false,12,11,1.8333,2,1,0.0000,3,0,10,1,0.0909,8.7122,1.0000,4.4474,4.4474,0.0000,1.0000,0.0000,0,0,0,1,0.0000,0.0000,94,7.8333,0.0819,12,hub_and_spoke,large,multiple,12,1,deep,low,3,low,1730769829,6b0f6833-9594-43ae-acd2-3275f003f2e2,true,,,none,0
false,11,10,1.8182,10,10,0.0000,1,1,8,1,0.1000,32.2666,0.3810,48.7726,31.1720,7.6735,4.4286,3.5000,1,2,2,1,0.2727,2.5000,39,3.5455,0.0292,11,linear,large,single,11,6,dispersed,high,2,medium,1534693691,22ff97e5-24d9-4e6b-ad2c-963b047331de,true,,,none,0
false,13,12,1.8462,2,1,0.0000,3,0,11,1,0.0833,8.9099,1.0000,2.7407,2.1434,0.0000,1.0000,2.0000,0,1,5,1,0.0769,1.7143,99,7.6154,0.1160,13,hub_and_spoke,medium,multiple,13,7,clustered,low,4,high,1978514580,fc2f0482-e5b5-4f52-982e-2865db4e9506,true,,,none,1
false,11,10,1.8182,5,3,0.0000,1,2,7,1,0.1000,9.2417,0.8333,8.6672,7.7885,0.1875,1.2500,3.0000,0,1,1,1,0.1818,2.3333,62,5.6364,0.0732,11,branching,medium,single,11,3,front_loaded,medium,2,medium,176667852,409e8c79-c3ea-49b5-91b5-0a20f42e8367,true,,,none,0
