event_type,event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
GunshotHeard,35,NoDistance,-3.82,-10.74,AblationNPC_07,Roamer,3.56,1,0.50
GunshotHeard,35,NoRole,-3.82,-10.74,AblationNPC_05,Leader,5.40,1,1.00
GunshotHeard,35,NoState,-3.82,-10.74,AblationNPC_07,Roamer,3.56,1,0.50
GunshotHeard,36,Full,-1.89,8.77,AblationNPC_01,Roamer,12.36,1,0.80
GunshotHeard,36,NoLOS,-1.89,8.77,AblationNPC_01,Roamer,12.36,1,0.80
GunshotHeard,36,NoDistance,-1.89,8.77,AblationNPC_01,Roamer,12.36,1,0.80
GunshotHeard,36,NoRole,-1.89,8.77,AblationNPC_05,Leader,17.16,1,1.00
GunshotHeard,36,NoState,-1.89,8.77,AblationNPC_04,Roamer,7.95,1,0.10
GunshotHeard,37,Full,0.97,-2.98,AblationNPC_01,Roamer,12.74,1,0.80
GunshotHeard,37,NoLOS,0.97,-2.98,AblationNPC_01,Roamer,12.74,1,0.80
GunshotHeard,37,NoDistance,0.97,-2.98,AblationNPC_01,Roamer,12.74,1,0.80
GunshotHeard,37,NoRole,0.97,-2.98,AblationNPC_06,Guard,2.54,1,0.80
GunshotHeard,37,NoState,0.97,-2.98,AblationNPC_01,Roamer,12.74,1,0.80
GunshotHeard,38,Full,-6.08,12.22,AblationNPC_01,Roamer,12.63,1,0.80
GunshotHeard,38,NoLOS,-6.08,12.22,AblationNPC_01,Roamer,12.63,1,0.80
GunshotHeard,38,NoDistance,-6.08,12.22,AblationNPC_01,Roamer,12.63,1,0.80
GunshotHeard,38,NoRole,-6.08,12.22,AblationNPC_05,Leader,19.59,1,1.00
GunshotHeard,38,NoState,-6.08,12.22,AblationNPC_04,Roamer,5.74,1,0.10
GunshotHeard,39,Full,2.60,7.05,AblationNPC_01,Roamer,15.23,1,0.80
GunshotHeard,39,NoLOS,2.60,7.05,AblationNPC_01,Roamer,15.23,1,0.80
GunshotHeard,39,NoDistance,2.60,7.05,AblationNPC_01,Roamer,15.23,1,0.80
GunshotHeard,39,NoRole,2.60,7.05,AblationNPC_01,Roamer,15.23,1,0.80
GunshotHeard,39,NoState,2.60,7.05,AblationNPC_04,Roamer,12.42,1,0.10
GunshotHeard,40,Full,-14.42,11.45,AblationNPC_01,Roamer,11.23,1,0.80
GunshotHeard,40,NoLOS,-14.42,11.45,AblationNPC_01,Roamer,11.23,1,0.80
GunshotHeard,40,NoDistance,-14.42,11.45,AblationNPC_01,Roamer,11.23,1,0.80
GunshotHeard,40,NoRole,-14.42,11.45,AblationNPC_05,Leader,19.81,1,1.00
GunshotHeard,40,NoState,-14.42,11.45,AblationNPC_04,Roamer,5.87,1,0.10
GunshotHeard,41,Full,13.73,-5.01,AblationNPC_01,Roamer,25.61,1,0.80
GunshotHeard,41,NoLOS,13.73,-5.01,AblationNPC_01,Roamer,25.61,1,0.80
GunshotHeard,41,NoDistance,13.73,-5.01,AblationNPC_01,Roamer,25.61,1,0.80
GunshotHeard,41,NoRole,13.73,-5.01,AblationNPC_00,Guard,10.42,1,1.00
GunshotHeard,41,NoState,13.73,-5.01,AblationNPC_01,Roamer,25.61,1,0.80
GunshotHeard,42,Full,6.32,-10.13,AblationNPC_00,Guard,1.43,1,1.00
GunshotHeard,42,NoLOS,6.32,-10.13,AblationNPC_01,Roamer,20.62,0,0.80
GunshotHeard,42,NoDistance,6.32,-10.13,AblationNPC_01,Roamer,20.62,0,0.80
GunshotHeard,42,NoRole,6.32,-10.13,AblationNPC_00,Guard,1.43,1,1.00
GunshotHeard,42,NoState,6.32,-10.13,AblationNPC_00,Guard,1.43,1,1.00
GunshotHeard,43,Full,-11.91,-1.44,AblationNPC_01,Roamer,2.22,1,0.80
GunshotHeard,43,NoLOS,-11.91,-1.44,AblationNPC_01,Roamer,2.22,1,0.80
GunshotHeard,43,NoDistance,-11.91,-1.44,AblationNPC_01,Roamer,2.22,1,0.80
GunshotHeard,43,NoRole,-11.91,-1.44,AblationNPC_01,Roamer,2.22,1,0.80
GunshotHeard,43,NoState,-11.91,-1.44,AblationNPC_01,Roamer,2.22,1,0.80
GunshotHeard,44,Full,-5.00,8.28,AblationNPC_01,Roamer,9.83,1,0.80
GunshotHeard,44,NoLOS,-5.00,8.28,AblationNPC_01,Roamer,9.83,1,0.80
GunshotHeard,44,NoDistance,-5.00,8.28,AblationNPC_01,Roamer,9.83,1,0.80
GunshotHeard,44,NoRole,-5.00,8.28,AblationNPC_05,Leader,15.84,1,1.00
GunshotHeard,44,NoState,-5.00,8.28,AblationNPC_04,Roamer,4.81,1,0.10
GunshotHeard,45,Full,-10.54,-10.96,AblationNPC_01,Roamer,11.66,1,0.80
GunshotHeard,45,NoLOS,-10.54,-10.96,AblationNPC_01,Roamer,11.66,1,0.80
GunshotHeard,45,NoDistance,-10.54,-10.96,AblationNPC_01,Roamer,11.66,1,0.80
GunshotHeard,45,NoRole,-10.54,-10.96,AblationNPC_05,Leader,4.49,1,1.00
GunshotHeard,45,NoState,-10.54,-10.96,AblationNPC_07,Roamer,7.92,1,0.50
GunshotHeard,46,Full,-8.53,2.75,AblationNPC_01,Roamer,3.40,1,0.80
GunshotHeard,46,NoLOS,-8.53,2.75,AblationNPC_01,Roamer,3.40,1,0.80
GunshotHeard,46,NoDistance,-8.53,2.75,AblationNPC_01,Roamer,3.40,1,0.80
GunshotHeard,46,NoRole,-8.53,2.75,AblationNPC_01,Roamer,3.40,1,0.80
GunshotHeard,46,NoState,-8.53,2.75,AblationNPC_01,Roamer,3.40,1,0.80
GunshotHeard,47,Full,0.39,14.61,AblationNPC_01,Roamer,18.14,1,0.80
GunshotHeard,47,NoLOS,0.39,14.61,AblationNPC_01,Roamer,18.14,1,0.80
GunshotHeard,47,NoDistance,0.39,14.61,AblationNPC_01,Roamer,18.14,1,0.80
GunshotHeard,47,NoRole,0.39,14.61,AblationNPC_01,Roamer,18.14,1,0.80
GunshotHeard,47,NoState,0.39,14.61,AblationNPC_04,Roamer,12.22,1,0.10
GunshotHeard,48,Full,7.99,5.16,AblationNPC_01,Roamer,19.74,1,0.80
GunshotHeard,48,NoLOS,7.99,5.16,AblationNPC_01,Roamer,19.74,1,0.80
GunshotHeard,48,NoDistance,7.99,5.16,AblationNPC_01,Roamer,19.74,1,0.80
GunshotHeard,48,NoRole,7.99,5.16,AblationNPC_00,Guard,16.20,1,1.00
GunshotHeard,48,NoState,7.99,5.16,AblationNPC_04,Roamer,17.98,1,0.10
GunshotHeard,49,Full,6.45,-6.32,AblationNPC_01,Roamer,19.02,1,0.80
GunshotHeard,49,NoLOS,6.45,-6.32,AblationNPC_01,Roamer,19.02,1,0.80
GunshotHeard,49,NoDistance,6.45,-6.32,AblationNPC_01,Roamer,19.02,1,0.80
GunshotHeard,49,NoRole,6.45,-6.32,AblationNPC_00,Guard,4.67,1,1.00
GunshotHeard,49,NoState,6.45,-6.32,AblationNPC_01,Roamer,19.02,1,0.80
RoomBreached,0,Full,0.52,-13.94,AblationNPC_00,Guard,5.52,1,1.00
RoomBreached,0,NoLOS,0.52,-13.94,AblationNPC_00,Guard,5.52,1,1.00
RoomBreached,0,NoDistance,0.52,-13.94,AblationNPC_00,Guard,5.52,1,1.00
RoomBreached,0,NoRole,0.52,-13.94,AblationNPC_00,Guard,5.52,1,1.00
RoomBreached,0,NoState,0.52,-13.94,AblationNPC_00,Guard,5.52,1,1.00
RoomBreached,1,Full,9.42,2.32,AblationNPC_00,Guard,13.80,1,1.00
RoomBreached,1,NoLOS,9.42,2.32,AblationNPC_00,Guard,13.80,1,1.00
RoomBreached,1,NoDistance,9.42,2.32,AblationNPC_00,Guard,13.80,1,1.00
RoomBreached,1,NoRole,9.42,2.32,AblationNPC_00,Guard,13.80,1,1.00
RoomBreached,1,NoState,9.42,2.32,AblationNPC_03,Guard,3.31,1,0.20
RoomBreached,2,Full,-3.08,-10.43,AblationNPC_00,Guard,8.13,1,1.00
RoomBreached,2,NoLOS,-3.08,-10.43,AblationNPC_00,Guard,8.13,1,1.00
RoomBreached,2,NoDistance,-3.08,-10.43,AblationNPC_00,Guard,8.13,1,1.00
RoomBreached,2,NoRole,-3.08,-10.43,AblationNPC_05,Leader,5.82,1,1.00
RoomBreached,2,NoState,-3.08,-10.43,AblationNPC_00,Guard,8.13,1,1.00
RoomBreached,3,Full,-12.30,6.15,AblationNPC_06,Guard,16.99,1,0.80
RoomBreached,3,NoLOS,-12.30,6.15,AblationNPC_00,Guard,24.23,0,1.00
RoomBreached,3,NoDistance,-12.30,6.15,AblationNPC_06,Guard,16.99,1,0.80
RoomBreached,3,NoRole,-12.30,6.15,AblationNPC_01,Roamer,5.57,1,0.80
RoomBreached,3,NoState,-12.30,6.15,AblationNPC_06,Guard,16.99,1,0.80
RoomBreached,4,Full,9.49,1.20,AblationNPC_00,Guard,12.77,1,1.00
RoomBreached,4,NoLOS,9.49,1.20,AblationNPC_00,Guard,12.77,1,1.00
RoomBreached,4,NoDistance,9.49,1.20,AblationNPC_00,Guard,12.77,1,1.00
RoomBreached,4,NoRole,9.49,1.20,AblationNPC_00,Guard,12.77,1,1.00
RoomBreached,4,NoState,9.49,1.20,AblationNPC_03,Guard,2.87,1,0.20
RoomBreached,5,Full,-13.68,6.33,AblationNPC_03,Guard,21.26,1,0.20
RoomBreached,5,NoLOS,-13.68,6.33,AblationNPC_00,Guard,25.36,0,1.00
RoomBreached,5,NoDistance,-13.68,6.33,AblationNPC_03,Guard,21.26,1,0.20
RoomBreached,5,NoRole,-13.68,6.33,AblationNPC_05,Leader,14.77,1,1.00
RoomBreached,5,NoState,-13.68,6.33,AblationNPC_03,Guard,21.26,1,0.20
RoomBreached,6,Full,-10.57,12.19,AblationNPC_03,Guard,20.94,1,0.20
RoomBreached,6,NoLOS,-10.57,12.19,AblationNPC_00,Guard,27.76,0,1.00
RoomBreached,6,NoDistance,-10.57,12.19,AblationNPC_03,Guard,20.94,1,0.20
RoomBreached,6,NoRole,-10.57,12.19,AblationNPC_05,Leader,19.64,1,1.00
RoomBreached,6,NoState,-10.57,12.19,AblationNPC_03,Guard,20.94,1,0.20
