event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
25,NoRole,-12.87,-1.08,AblationNPC_01,Roamer,2.40,1,0.80
25,NoState,-12.87,-1.08,AblationNPC_01,Roamer,2.40,1,0.80
26,Full,-14.64,8.93,AblationNPC_01,Roamer,8.93,1,0.80
26,NoLOS,-14.64,8.93,AblationNPC_01,Roamer,8.93,1,0.80
26,NoDistance,-14.64,8.93,AblationNPC_01,Roamer,8.93,1,0.80
26,NoRole,-14.64,8.93,AblationNPC_05,Leader,17.54,1,1.00
26,NoState,-14.64,8.93,AblationNPC_04,Roamer,4.97,1,0.10
27,Full,-1.82,0.40,AblationNPC_01,Roamer,9.41,0,0.80
27,NoLOS,-1.82,0.40,AblationNPC_01,Roamer,9.41,0,0.80
27,NoDistance,-1.82,0.40,AblationNPC_01,Roamer,9.41,0,0.80
27,NoRole,-1.82,0.40,AblationNPC_05,Leader,9.84,0,1.00
27,NoState,-1.82,0.40,AblationNPC_07,Roamer,7.80,0,0.50
28,Full,-0.01,-14.73,AblationNPC_01,Roamer,19.07,0,0.80
28,NoLOS,-0.01,-14.73,AblationNPC_01,Roamer,19.07,0,0.80
28,NoDistance,-0.01,-14.73,AblationNPC_01,Roamer,19.07,0,0.80
28,NoRole,-0.01,-14.73,AblationNPC_00,Guard,6.42,1,1.00
28,NoState,-0.01,-14.73,AblationNPC_07,Roamer,8.34,0,0.50
29,Full,9.87,-14.61,AblationNPC_07,Roamer,15.35,1,0.50
29,NoLOS,9.87,-14.61,AblationNPC_01,Roamer,26.06,0,0.80
29,NoDistance,9.87,-14.61,AblationNPC_07,Roamer,15.35,1,0.50
29,NoRole,9.87,-14.61,AblationNPC_00,Guard,6.16,1,1.00
29,NoState,9.87,-14.61,AblationNPC_07,Roamer,15.35,1,0.50
30,Full,-14.91,-13.09,AblationNPC_01,Roamer,14.25,1,0.80
30,NoLOS,-14.91,-13.09,AblationNPC_01,Roamer,14.25,1,0.80
30,NoDistance,-14.91,-13.09,AblationNPC_01,Roamer,14.25,1,0.80
30,NoRole,-14.91,-13.09,AblationNPC_05,Leader,9.05,1,1.00
30,NoState,-14.91,-13.09,AblationNPC_07,Roamer,12.78,1,0.50
31,Full,4.62,-13.96,AblationNPC_07,Roamer,10.63,1,0.50
31,NoLOS,4.62,-13.96,AblationNPC_01,Roamer,21.59,0,0.80
31,NoDistance,4.62,-13.96,AblationNPC_07,Roamer,10.63,1,0.50
31,NoRole,4.62,-13.96,AblationNPC_00,Guard,3.22,1,1.00
